,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
44042,41763.0,1.331746070108,-0.672360434636562,0.166593186294113,-0.66816752663454,-0.67637197229539,0.03191625456702,-0.535213582230523,-0.0170137200699026,-0.794490504334472,0.668383146977896,0.237560299693125,0.905972342346311,0.941477691745496,-0.230166520812439,-1.01269075946645,-1.33652363236003,-0.216674110571427,1.17547045825253,0.248040863537502,-0.358015607847967,-0.597611657918079,-1.14344406086421,-0.0231441554547804,-0.454639505891822,0.29452891678181,0.941247084613429,-0.0516068179184804,-0.0046021554663178,35.98,0
96917,66002.0,-2.95235750056777,1.4024164991006,-0.227938051993063,-0.325600150791645,-1.11445310793625,-1.14748593313719,0.118176769496472,0.891105120033297,-0.402471268467392,-0.495356292739292,-0.813729166054974,0.62921925241677,0.518863881222515,0.810796986829528,0.290059343815431,0.751075745347972,-0.176941127114194,-0.443554779029792,-0.664794300026251,-0.460183448590191,-0.0830594772107725,-0.508888020317638,-0.327598820178915,0.445970961879271,-0.221592979560591,0.064562815459643,-0.340728241440565,-0.0823716773741688,101.9,0
262083,160301.0,1.67477785207206,-0.227956526207251,-2.50182610311376,1.47241647557583,0.686319456537818,-1.495440153063,1.41175512025882,-0.699795476012217,-0.352737113318245,0.280576709795348,-0.794842525589167,0.300499874037882,0.0411339049207668,0.911311243982096,-0.30062531621951,-0.906692910314485,-0.167354891510394,-0.549201780765636,-0.4324331675175,0.143205746263196,0.443131883031597,1.01400125627229,-0.411184966514146,0.0561608747269516,0.795229118412255,-0.21610293314361,-0.0896770517413664,-0.0410543371671122,219.3,0
82280,59339.0,-0.719800979578794,1.39543482212921,0.922293613659584,0.0446280924071795,-0.0241894875367749,-0.554140885018048,0.319563929860044,0.450290542797232,-0.681375454925118,-0.799356966816206,-0.007486906571701,0.573138230804626,0.922365809035477,-0.237092891038548,1.02274756114754,0.175581714994529,0.412013764711316,-0.643998245440332,-0.458994549464526,0.0176642230076151,-0.186035838518279,-0.523210701988127,0.0566608428272379,0.0430231941412943,-0.184176834100917,0.101519671064957,0.142452742679621,0.0334400295762738,1.98,0
97940,66450.0,1.25136227562295,-0.0862896789909711,0.305538220020228,-0.106003991749645,-0.525160483944977,-0.70765304904375,-0.165506584498405,-0.0407772559289075,0.400145003535295,-0.2058565058292,-0.169040652308431,-0.240819073654182,-0.926086375371788,0.465240320666836,1.49909218195922,0.0111538258735728,0.032351113621659,-0.822699277838524,-0.281088834885811,-0.161643066365388,-0.092828147319109,-0.268407657580117,0.0861004906621235,0.11938151861431,0.133054575726599,0.992985027734804,-0.0743171500729811,-0.0015317374294817,4.53,0
30312,35865.0,-1.37076095140261,0.535400935719681,0.846874118407977,-1.07717500746311,0.0863775602234869,-0.348075858961182,0.0269128052460829,0.601005908379805,-0.310463576455244,-0.573229728411582,0.679797802763615,-0.279154336455543,-1.87816394422995,0.920291030543718,0.231856355096506,0.633844829776801,-0.406674817423349,0.0223663214432173,-0.393344345376368,-0.477709543025839,0.0665914409177607,-0.038051443421354,0.192931348688252,-0.304654496225963,-0.426034113418882,0.771993518677888,-0.320678529621984,0.004084353704977,4.0,0
263303,160883.0,2.08635323713382,0.227399784421838,-1.74753020557411,0.371206402265476,0.582185615361958,-0.767479096938499,0.251620254787901,-0.284483573936455,0.350489836782168,-0.407953048957396,-0.533942487385695,0.636650924033785,1.11008951766676,-1.05639954769714,0.104939765439165,0.314257824177222,0.358476045321312,-0.38159379985149,0.104845918994847,-0.0852028880125101,-0.36305925606294,-0.890154918568613,0.30806976386784,0.4068101546694,-0.202872499875111,0.177911549628096,-0.056285756977578,-0.0298119584176659,1.98,0
174965,122150.0,-1.87446684459297,-1.9037471801477,-0.233476088031319,1.8217216865871,2.43072410721532,-1.44927372914338,0.23471846549527,-0.395587803238975,-0.206977157556822,0.181391411750721,-0.309881288461233,-0.307088347332193,0.423922884958024,-1.0525187914855,1.53930955995725,-0.818350128477133,1.2596987408653,0.210541108636198,2.93529301614172,-0.067477635236104,-0.428025177950127,-0.137152490035315,2.46039870585619,0.632542266792147,-0.762268220349519,0.531950159277683,0.294237290339744,-0.22205580545409,1.98,0
218289,141250.0,1.87457819217616,-0.165378888089614,-0.859605434159447,1.20878361208032,0.017668910161274,-0.15946040507975,-0.0883341256504238,-0.0511191694003827,0.352112134639773,0.351518564904046,0.552721178843498,1.19863396015661,0.516907861120011,0.241132593701946,-0.527905651694608,0.194615985276225,-0.868231168134532,0.433587913971399,-0.178271797609153,-0.129726591764098,0.22398741245137,0.750087796865494,-0.0154876983696544,-0.382095844168518,0.139928955425997,-0.525230265483063,0.0248401903687873,-0.047345988194987,50.0,0
29785,35629.0,-0.841606146457496,0.44741550334899,-0.221928159372863,-2.56150681424862,-0.783007856625717,-0.444412387082163,-0.80272855373066,-1.18313644660971,-2.62755884785246,1.2626653678821,0.911178727065295,-0.238937724824749,-0.138429178557491,0.475185606839572,-1.04550961144792,-0.562138309368744,0.661191646672023,-0.0117298300353175,-0.924607071757992,-0.819375770406065,1.59846964613703,0.0759345910861251,0.303313629280175,-0.0373468807066621,-0.807228969660623,-0.392753697164805,0.431931381941771,0.202688733078817,12.0,0
121745,76301.0,-0.871597677333149,0.18216039798653,0.284220822590675,0.341752163445015,-2.63076883731386,0.507301660239504,3.55466220864095,-0.675392242408221,-0.52224020340015,-0.924393448820397,-0.347898600174948,-0.130175201716279,-0.169807283378903,0.0305245859101342,-0.0699587053124017,-0.266135773638421,0.0167777093188154,-0.48427960579731,0.077070171626214,0.0315948131905496,0.0083227483867662,0.194114896402512,0.268051942809404,0.791063406664838,0.271009874539348,0.491877796940228,0.0914293972149225,-0.145059613467697,644.0,0
137192,82058.0,1.21221091356894,0.249586153054563,0.261649151965108,0.651231063303962,-0.253871380203148,-0.621241312578632,-0.0430897109543109,-0.0214664167734842,0.145495632052121,-0.30423665179518,0.023537351349689,-0.0899012155601195,-0.564799809811933,-0.105702864625691,1.43049656795244,0.222300248819463,0.317116480441889,-0.653449283369478,-0.551595006514761,-0.161509376043986,-0.268734651058819,-0.778790631594333,0.167939645271336,0.0128227387199194,0.11712673694801,0.126682361164723,-0.0116663450801204,0.0257883324262147,1.98,0
